Post Date,BAI Description,Text,Transaction Type,Transaction Amount
26/12/2025,Wire,202512260018197   PELION VENTURES VIII - ENTREPRENEU+ PELION VENTURES VIII-ENTREPRENEURSFU,CREDIT,$728999.32
26/12/2025,Wire,"202512260018198   PELION VENTURES VIII-C, L.P.        PELION VENTURES VIII-C- SERIES A -B",CREDIT,$394500.38
26/12/2025,Wire,"202512260018195   PELION VENTURES VIII-A, L.P.        PELION VENTURES VIII-A- SERIES A -B",CREDIT,$73500.47
29/12/2025,Wire,202512290002823   PAYEM CSMRS PRGM FUNDING            BRANDLIGHT AI,DEBIT,($300000.00)
29/12/2025,Wire,202512290003170   XVERUM LLC                          BRANDLIGHT,DEBIT,($100.00)
29/12/2025,Ach,"Deel, Inc.        Deel Inc.         251229            ST-N1L4Q0K4H2D5091000015093394",DEBIT,($20734.33)
30/12/2025,Ach,HARTFORD FIRE IN  TRADE EXC         251230            0000572917051000010124926,CREDIT,$64500.00
30/12/2025,Wire,202512300017687   G20 VENTURES IV LP                  BRANDLIGHT INC SAFE,CREDIT,$3000000.00
31/12/2025,Wire,202601050004403   CARDUMEN DEEPTECH FUND II FCRE      PLEASE PAY IN FULL/OTHR/MBNYUS33XXX,CREDIT,$1547793.70
31/12/2025,Wire,202601050004397   CARDUMEN DEEPTECH II A SCR-PYME S   PLEASE PAY IN FULL/OTHR/MBNYUS33XXX,CREDIT,$291749.86
31/12/2025,Wire,202601050004399   CARDUMEN DEEPTECH II ILS SCR-PYME   ABA/ROUTING NUMBER 21201383 MBNYUS33/OTHR/MBNYUS33XXX,CREDIT,$160461.13
31/12/2025,Wire,202601070000745   MAYER BROWN LLP                     25802709 INVESTMENT INBRANDLIGHT,DEBIT,($50000.00)
31/12/2025,Deposit,Deposit,CREDIT,$36000.00
31/12/2025,Ach,NATIONAL EMPLOYE  INVOICE           251231            H1518386053200982969516,DEBIT,($58945.81)
31/12/2025,Wire,202601050000914   LLORENTE   CUENCA MADRID SL         /ROC/1893696010AFJQ18/URI/IN254000/BNF//BOOK/2146514,CREDIT,$3318.00
31/12/2025,Ach,GOOGLE            ACCTVERIFY        260108            US004A0Q45091000014139746,CREDIT,$0.10
