Post Date,BAI Description,Text,Transaction Type,Transaction Amount
09/17/2025,Ach,MMS AS PAYCO6366  EDI PAYMNT        REF*TN*2539002389*3900238943 Various invoicesDUSUSUSD\031100200815706,ACH CREDIT,$63000.00
09/18/2025,Ach,iQuanti Inc.      Bill.com              iQuanti Inc. Bill.com 015NFGMFHNNSDB3Inv IN2540000013021000025016071,ACH CREDIT,$6000.00
09/18/2025,Ach,NATIONAL EMPLOYE  INVOICE           250918            1446005053200980826923,ACH DEBIT,($0.10)
09/22/2025,Ach,BRANDLIGHT LTD    PUBLIC REL        250922000809480000060,ACH DEBIT,($15322.58)
09/23/2025,Ach,Teneo Strategy L   USSC 9.19        250922            00004433/6022000020705740,ACH CREDIT,$18000.00
09/23/2025,Wire,"202509230015741   NSKNOX TECHNOLOGIES, INC            BRANDLIGHT INC",WIRE OUT,($1.60)
09/25/2025,Ach,WISE US INC       2540000017        From Inmarkets Limited Via WISE111000025791736,ACH CREDIT,$7500.00
09/25/2025,Wire,202509250000768   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,WIRE OUT,($10000.00)
09/25/2025,Ach,MMS AS PAYCO6366  EDI PAYMNT        REF*TN*2539002513*3900251323 Various invoicesDUSUSUSD\031100206160170,ACH CREDIT,$108000.00
09/26/2025,Ach,"AUCTANE, INC.     PAYMENTS          250926            900000014653502021000026007608",ACH CREDIT,$30000.00
09/29/2025,Ach,NATIONAL EMPLOYE  INVOICE           250927            H1454712053200983926963,ACH DEBIT,($17503.44)
09/30/2025,Wire,202509300001449   DAVID SHIELD - PASSPORTCARD LTD     /ROC/481-06-9067502///URI/IN25400000,WIRE IN INTL,$11468.00
10/02/2025,WIRE IN,202502100022058   G20 VENTURES IV LP,CREDIT,$2000000.00
10/03/2025,WIRE IN,202503100023083   PAREKH NAYAN PANKAJ /OR RAVESHIA C  NAYAN PAREKH INVESTMENTFUNDS       /XDAT/TMPN//BNF/FW,CREDIT,$10000.00
10/10/2025,Ach,NATIONAL EMPLOYE  INVOICE           251010            H1462542053200984687833,ACH DEBIT,($27717.90)
10/11/2025,Wire,"202511100023928   NSKNOX TECHNOLOGIES, INC            BRANDLIGHT",,($2.61)
10/11/2025,Wire,202511100023931   CENSUSWIDE LTD                      BRANDLIGHT REMAINING INV. SIN4486CW,,($6000.00)
10/15/2025,,ANALYSIS ACTIVITY                    FOR 09/25,,($85.22)
10/15/2025,Ach,BRANDLIGHT LTD    DINNER            251015001112290000045,,($4000.00)
10/20/2025,Ach,BRANDLIGHT LTD    BLUEGROUND        251020000803290000088,,($4878.00)
10/21/2025,Wire,202510210002437   PAYEM CSMRS PRGM FUNDING            BRANDLIGHT AI,,($50000.00)
10/21/2025,Wire,202510210002411   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,,($15000.00)
10/24/2025,Ach,FISHER INVESTMEN  INV-254000                          RMR*IK*INV-2540000041\111000029037424,,$36000.00
10/29/2025,Ach,NATIONAL EMPLOYE  INVOICE           251029            H1474823053200988010781,,($50147.11)
10/30/2025,Ach,"Deel, Inc.        Deel Inc.         251030            ST-D1U6N9B4Q8H6091000011704312",,($21347.11)
11/02/2025,ACH CREDIT,DAVID EDELMAN     SENDER            771305454000000000000000,CREDIT,$25000.00
11/06/2025,WIRE IN INTL,202506110000937   SOFWAVE MEDICAL LTD,CREDIT,$12500.00
11/06/2025,WIRE OUT,202506110016386   ALISON NATHAN,DEBIT,($14696.15)
11/09/2025,Ach,NSKNOX TECHNOLOG  PAYMENTS          250911051000016314384,ACH CREDIT,$1.60
11/12/2025,Ach,WISE US INC       2540000056        From Inmarkets Limited Via WISE111000022521506,,$7500.00
11/13/2025,Ach,MMS AS PAYCO6366  EDI PAYMNT        REF*TN*2539002976*3900297603 Various invoicesDUSUSUSD\031100206145483,,$2000.00
11/13/2025,Ach,IRS USER FEE      PAYMENT           251113            0000041036046194759,,($185.00)
11/17/2025,Wire,202511170002760   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,,($15000.00)
11/17/2025,Wire,202511170002778   CONNEXUS LIMITED                    BRANDLIGHT INVOICE NO342 AMSTERDAM,,($6743.25)
11/17/2025,,ANALYSIS ACTIVITY                    FOR 10/25,,($70.88)
11/19/2025,Wire,202511190000618   ATASH LAW P.C.                      BRANDLIGHT   INV 2281,,($3000.00)
11/19/2025,Wire,"202511190000619   HUBSPOT, INC                        BRANDLIGHT INVOICE #  674437393",,($2151.00)
11/21/2025,Wire,202511210000794   LEO BURNETT LIMITED                 /BNF//CHPREF/298487,,$68000.00
11/21/2025,Ach,LOGMEIN           11.19.2025        RMR*IK*IN2540000033\111000022952939,,$20000.00
11/25/2025,Ach,BRANDLIGHT LTD    PUBLIC REL        251125001111490000068,,($12500.00)
11/25/2025,Ach,Teneo Strategy L  USSC 11.21        251124            00004599/7022000022916539,,$18000.00
11/25/2025,Wire,"202511250006048   ARNON,TADMOR-LEVY                   BRANDLIGHT INC   901210",,($17617.50)
11/26/2025,Ach,"Deel, Inc.        Deel Inc.         251126            ST-N7E4S3U1O0W7091000017812118",,($20235.60)
11/28/2025,Ach,NATIONAL EMPLOYE  INVOICE           251127            H1496909053200985020828,,($57846.41)
12/08/2025,ACH CREDIT,Google LLC        ACCTVERIFY        250812064209623364219,CREDIT,$0.01
12/09/2025,Wire,"202509120023384   NATIONAL EMPLOYER SERVICES, LLC     BRANDLIGHT INC",WIRE OUT,($1968.94)
12/09/2025,Wire,"202509120000655   NATIONAL EMPLOYER SERVICES, LLC     BRANDLIGHT INC",WIRE OUT,($15208.33)
12/11/2025,,DEAL# 1449182,,($15000.00)
12/11/2025,Ach,NATIONAL EMPLOYE  INVOICE           251112            H1484129053200986774404,,($44612.11)
12/11/2025,Wire,202511120004018   SAS CADOA                           BRANDLIGHT  CAD2442,,($2691.60)
12/11/2025,Wire,202511120001515   BRANDLIGHT AI LTD,,$99970.00
12/12/2025,Wire,202512120000975   SOFWAVE MEDICAL LTD                 INVOICE NO. 034 DATED 1NOV25,,$12500.00
12/12/2025,Wire,202512120015893   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,,($15000.00)
12/12/2025,Wire,202512120000975   SOFWAVE MEDICAL LTD                 INVOICE NO. 034 DATED 1NOV25,,$12500.00
12/12/2025,Wire,202512120015894   PHILIP STEIN AND ASSOCIATES LTD     PRO FORMA INVOICE PI25006749   BRAND,,($400.00)
12/12/2025,Wire,202512120015895   XVERUM LLC                          BRANDLIGHT,,($251.00)
12/12/2025,Ach,NATIONAL EMPLOYE  INVOICE           251212            H1505343053200981966806,,($62480.72)
12/15/2025,Wire,202512150001839   DAVID SHIELD - PASSPORTCARD LTD     INV-2540000049 PAYMENTFROM HQ INV-2,,$11468.00
12/15/2025,Wire,202512150001590   BRANDLIGHT AI LTD,,$179970.00
12/16/2025,Wire,202512160000060   1/ZYG EDGE LTD                      INV-2540000050    /BNF/BOOK/2142221348JS,,$6000.00
12/16/2025,,ANALYSIS ACTIVITY                    FOR 11/25,,($180.44)
12/22/2025,Wire,202512220022108   TENEO STRATEGY LIMITED              /ROC/BRANDLIGHT INC///URI/INV-254000/BNF//CHPREF/85870,,$24000.00
12/24/2025,Ach,DATA AXLE         PJP ACH 12        251223            133326042000010853801,,$30000.00
12/26/2025,Wire,"202512260018195   PELION VENTURES VIII-A, L.P.        PELION VENTURES VIII-A- SERIES A -B",,$73500.47
12/26/2025,Wire,"202512260018198   PELION VENTURES VIII-C, L.P.        PELION VENTURES VIII-C- SERIES A -B",,$394500.38
12/26/2025,Wire,202512260018197   PELION VENTURES VIII - ENTREPRENEU+ PELION VENTURES VIII-ENTREPRENEURSFU,,$728999.32
12/26/2025,Wire,202512260018536   PELION VENTURES VIII FINANCIAL      PELION VENTURES VIII FIF - SERIES A-,,$6336001.38
12/26/2025,Wire,"202512260018196   PELION VENTURES VIII, L.P.          PELION VENTURES VIII -SERIES A - BR",,$7466994.78
12/29/2025,Wire,202512290002823   PAYEM CSMRS PRGM FUNDING            BRANDLIGHT AI,,($300000.00)
12/29/2025,Wire,202512290003170   XVERUM LLC                          BRANDLIGHT,,($100.00)
12/29/2025,Ach,"Deel, Inc.        Deel Inc.         251229            ST-N1L4Q0K4H2D5091000015093394",,($20734.33)
12/30/2025,Wire,202512300017687   G20 VENTURES IV LP                  BRANDLIGHT INC SAFE,,$3000000.00
12/30/2025,Ach,HARTFORD FIRE IN  TRADE EXC         251230            0000572917051000010124926,,$64500.00
12/31/2025,Ach,NATIONAL EMPLOYE  INVOICE           251231            H1518386053200982969516,,($58945.81)
12/31/2025,Deposit,,,$36000.00
12/31/2025,Wire,202601050000914   LLORENTE   CUENCA MADRID SL         /ROC/1893696010AFJQ18/URI/IN254000/BNF//BOOK/2146514,,$3318.00
12/31/2025,Wire,202601050004399   CARDUMEN DEEPTECH II ILS SCR-PYME   ABA/ROUTING NUMBER 21201383 MBNYUS33/OTHR/MBNYUS33XXX,,$160461.13
12/31/2025,Wire,202601050004397   CARDUMEN DEEPTECH II A SCR-PYME S   PLEASE PAY IN FULL/OTHR/MBNYUS33XXX,,$291749.86
12/31/2025,Wire,202601050004403   CARDUMEN DEEPTECH FUND II FCRE      PLEASE PAY IN FULL/OTHR/MBNYUS33XXX,,$1547793.70
12/31/2025,Wire,202601070000745   MAYER BROWN LLP                     25802709 INVESTMENT INBRANDLIGHT,,($50000.00)
12/31/2025,Ach,GOOGLE            ACCTVERIFY        260108            US004A0Q45091000014139746,,$0.10
